"","obs","ARIMA","ETS","NNAR","MLP","SA","SM","DE"
"13",0.236904761904762,0.168121341013379,0.156406774414696,0.159000560486641,0.241775200514723,0.18132596910736,0.168121341013379,0.219321067678521
"14",0.216666666666667,0.260734745164658,0.228346463813359,0.237693824705872,0.246698600827862,0.243368408627938,0.260734745164658,0.25126306262769
"15",0.181746031746032,0.232059190690784,0.21790842672484,0.217667003977897,0.157105405825648,0.206185006804792,0.232059190690784,0.182274456755011
"16",0.297619047619048,0.211783382780659,0.185590706197873,0.183354911221874,0.167243356858027,0.186993089264608,0.211783382780659,0.18159420021654
"17",0.369444444444444,0.316151367610984,0.285708539413035,0.298297288399347,0.339932233122271,0.31002235713641,0.316151367610984,0.331384156399833
"18",0.326587301587302,0.366174283716203,0.360541900933022,0.370740072226812,0.384568643509223,0.370506225096315,0.366174283716203,0.380518205419988
"19",0.459920634920635,0.308701937047742,0.330197250007574,0.327437569018136,0.323677274047524,0.322503507530244,0.308701937047742,0.31992368852958
"20",0.412698412698413,0.429718330354127,0.446128844192341,0.462531943564881,0.318109982891332,0.41412227525067,0.429718330354127,0.354101791814675
"21",0.308730158730159,0.355418842056307,0.41625263320715,0.414593207396061,0.300486382324958,0.371687766246119,0.355418842056307,0.320898083405915
"22",0.325396825396825,0.272258532899163,0.320161617041001,0.309459823099917,0.301117610666224,0.300749395926576,0.272258532899163,0.294496659134685
"23",0.279365079365079,0.295929686186175,0.324840234169184,0.326237699380108,0.270886723665692,0.30447358585029,0.295929686186175,0.281351848465127
"24",0.297619047619048,0.267077040714726,0.284199857757698,0.280002854417187,0.26127404043601,0.273138448331405,0.267077040714726,0.26474902259007
"25",0.398015873015873,0.30020613492783,0.296192360684884,0.298297288399347,0.310409085851841,0.301276217465975,0.30020613492783,0.307802559664935
"26",0.309126984126984,0.399304982769197,0.387190310807255,0.399696153792582,0.326717000978722,0.378227112086939,0.399304982769197,0.349598772260922
"27",0.341666666666667,0.308916412089551,0.317426436579988,0.309858834966751,0.276713328087467,0.303228752930939,0.308916412089551,0.288580606756009
"28",0.419047619047619,0.357568224315456,0.339089520065187,0.342651136130545,0.349083195276019,0.347098018946801,0.357568224315456,0.350627069324281
"29",0.433333333333333,0.41837571589215,0.410546720239459,0.421037444176303,0.407058371544838,0.414254562963187,0.41837571589215,0.414008333826986
"30",0.610714285714286,0.427960859870739,0.430910730813303,0.435539975212255,0.425853066280555,0.430066158044213,0.427960859870739,0.431049546752425
"31",0.882936507936508,0.579884934187347,0.591598125562748,0.614665462506347,0.481302574013817,0.566862774067564,0.579884934187347,0.509411279992724
"32",0.59047619047619,0.796848758829093,0.851962308461899,0.875875576793691,0.525822883708134,0.762627381948204,0.796848758829093,0.590336223640007
"33",0.481349206349206,0.47583513126963,0.618276589147793,0.594420571615522,0.475725806661054,0.5410645246735,0.47583513126963,0.478128301573713
"34",0.397222222222222,0.418747357648438,0.495906903943952,0.484275377368256,0.41331734763935,0.453061746649999,0.418747357648438,0.419528103798265
"35",0.330555555555556,0.350085301420963,0.407714073628247,0.39889116787077,0.380621965761572,0.384328127170388,0.350085301420963,0.373452463377349
"36",0.33531746031746,0.344174529713878,0.338758811544266,0.331438447057982,0.460427469001223,0.368699814329337,0.344174529713878,0.430345973987268
"37",0.425,0.369518911278994,0.33568333418033,0.336242088790937,0.42080586079079,0.365562548760263,0.369518911278994,0.408105279874761
"38",0.408333333333333,0.48429441501776,0.415504127190642,0.427079778672865,0.33051089686872,0.414347304437497,0.48429441501776,0.377940490526357
"39",0.454761904761905,0.457607611309889,0.409095710049775,0.410163495837879,0.362410267524993,0.409819271180634,0.457607611309889,0.392556746535359
"40",0.598809523809524,0.514399693510773,0.449906815594679,0.457295341582641,0.5854198282727,0.501755419740199,0.514399693510773,0.561599098674304
"41",0.58452380952381,0.623043497700754,0.582978646501229,0.602765761495278,0.601896784285663,0.602671172495731,0.623043497700754,0.600514965303812
"42",0.600793650793651,0.586353758358982,0.584359532550442,0.588452363752592,0.639018255723487,0.599545977596376,0.586353758358982,0.613457906814835
"43",0.737301587301587,0.584214657010404,0.599046425960085,0.604750879229597,0.648996208269084,0.609252042617292,0.584214657010404,0.618459181885725
"44",0.584126984126984,0.694385311489649,0.722602724381795,0.739143708494867,0.548291465986509,0.676105802588205,0.694385311489649,0.582740821941738
"45",0.568650793650794,0.522983519554231,0.598849298317443,0.588054271996868,0.533121529349312,0.560752154804464,0.522983519554231,0.529333103004915
"46",0.348015873015873,0.53325277348915,0.57186140565378,0.572509086380918,0.499133669076203,0.544189233650012,0.53325277348915,0.509306586449726
"47",0.30515873015873,0.326304957593823,0.371814440588516,0.349064708371162,0.395031421949769,0.360553882125818,0.326304957593823,0.375816623793068
"48",0.253174603174603,0.349792107929876,0.312245359988113,0.305869782439644,0.393305183622741,0.340303108495093,0.349792107929876,0.37992376575296
"49",0.331349206349206,0.310748080601515,0.259454824097607,0.25386171762882,0.411377259763342,0.308860470522821,0.310748080601515,0.379814026106703
"50",0.26984126984127,0.426439912825878,0.323705617067146,0.332238860765314,0.422360002976967,0.376186098408826,0.426439912825878,0.426539271326999
"51",0.294444444444444,0.350171297745721,0.275567961332964,0.270481541299822,0.361031732345156,0.314313133180916,0.350171297745721,0.354578226780471
"52",0.325793650793651,0.398810371200712,0.292437554900711,0.295111590925731,0.45827651686728,0.361159008473609,0.398810371200712,0.444095888007615
"53",0.31031746031746,0.398556504480616,0.322247333417053,0.326637635451247,0.462910005672491,0.377587869755352,0.398556504480616,0.448451398461814
"54",0.44047619047619,0.38393137327688,0.311585807680697,0.311056010909891,0.536552413738155,0.385781401401406,0.38393137327688,0.493256212679336
"55",0.599206349206349,0.476793518693901,0.426772961967341,0.442791976886445,0.519262661448073,0.46640527974894,0.476793518693901,0.507646736341628
"56",0.554761904761905,0.592234080334368,0.580873762580082,0.603162842421134,0.499584750775976,0.56896385902789,0.592234080334368,0.524955715514798
"57",0.585714285714286,0.500658821970861,0.557538037059074,0.558527975284809,0.484757341126618,0.52537054386034,0.500658821970861,0.490893434285598
"58",0.411507936507936,0.520621166805059,0.582718673741768,0.589646482249484,0.425286221839936,0.529568136159062,0.520621166805059,0.456056249712077
"59",0.31984126984127,0.334432045352398,0.429710534751487,0.413385042085435,0.366142959923537,0.385917645528214,0.334432045352398,0.358507617552886
"60",0.333730158730159,0.289296360118856,0.33152223168272,0.320640786035598,0.366517787064275,0.326994291225362,0.289296360118856,0.342886379995549
"61",0.315873015873016,0.314888858154456,0.33349541872702,0.334640567940013,0.377638422844989,0.34016581691662,0.314888858154456,0.358402856878121
"62",0.309126984126984,0.327457185256162,0.317746575466415,0.316645565668128,0.340892104291175,0.32568535767047,0.327457185256162,0.335981950749832
"63",0.258730158730159,0.332004640295907,0.310043392529344,0.309858834966751,0.310743087007899,0.315662488699975,0.332004640295907,0.31733120937135
"64",0.352777777777778,0.303878259234466,0.264185623699907,0.259395423060255,0.31834054164762,0.286449961910562,0.303878259234466,0.312698829861775
"65",0.450396825396825,0.401394625286571,0.343358932825269,0.353877682276649,0.378808296152109,0.369359884135149,0.401394625286571,0.38628083496851
"66",0.590079365079365,0.47974268783601,0.439016886341628,0.452863990941982,0.538860155991811,0.477620930277858,0.47974268783601,0.521461537112935
"67",0.679761904761905,0.588889238744748,0.574018867621297,0.594022878328272,0.591992502663169,0.587230871839372,0.588889238744748,0.585713472042611
"68",0.808333333333333,0.633978956608159,0.668519630747895,0.683084030954526,0.525839610874442,0.627855557296255,0.633978956608159,0.553523387028801
"69",0.58452380952381,0.724031500045728,0.793468771108885,0.806856740041361,0.583186986146979,0.726885999335738,0.724031500045728,0.610369394238333
"70",0.353571428571429,0.479904018847616,0.606738194276752,0.588452363752592,0.509289486730791,0.546096015901938,0.479904018847616,0.501769675188487
"71",0.373809523809524,0.304904589148796,0.380487339332675,0.354680067540092,0.400877956819075,0.360237488210159,0.304904589148796,0.373944109599944
"72",0.378571428571429,0.359735242256941,0.37451948858788,0.375160326716611,0.380789990416755,0.372551261994547,0.359735242256941,0.375890138164651
