"","obs","ARIMA","ETS","NNAR","MLP","SA","SM","DE"
"13",0.300318979266348,0.17973855498483,0.172760037313348,0.169273925892789,0.191886381081736,0.178414724818175,0.17973855498483,0.18342678734949
"14",0.277352472089314,0.289618277152075,0.278425250689199,0.278763440047505,0.311419025013803,0.289556498225645,0.289618277152075,0.30751265638894
"15",0.366666666666667,0.272545556086085,0.277536599702241,0.283270445516346,0.325872416661053,0.289806254491431,0.272545556086085,0.315635058359844
"16",0.362200956937799,0.34648494472025,0.351368723109709,0.354178067706197,0.268355087359423,0.330096705723895,0.34648494472025,0.265923962290896
"17",0.399202551834131,0.345166227840523,0.360341753782886,0.365824872803335,0.293285083269956,0.341154484424175,0.345166227840523,0.286921567662304
"18",0.514673046251994,0.377548682351888,0.392532633192607,0.395964002290043,0.478205255730386,0.411062643391231,0.377548682351888,0.48953335475705
"19",0.381977671451356,0.473963837298724,0.493709333235243,0.497394015428636,0.524103770186405,0.497292739037252,0.473963837298724,0.530723354567317
"20",0.544019138755981,0.369837793635466,0.401154866237681,0.407247749391329,0.417007043272471,0.398811863134237,0.369837793635466,0.415180122377663
"21",0.637799043062201,0.503646171414667,0.519498461820294,0.518207331103459,0.433181115037598,0.493633269844004,0.503646171414667,0.43871767222645
"22",0.514673046251994,0.583908890320466,0.617494384082013,0.62156188755612,0.632077948732353,0.613760777672738,0.583908890320466,0.626101852076125
"23",0.339234449760766,0.488404939098902,0.532320907138291,0.539057323994721,0.545909551568285,0.52642318045005,0.488404939098902,0.540445712077641
"24",0.434928229665072,0.348156495019803,0.372375070285075,0.371327606035075,0.327572144194644,0.354857828883649,0.348156495019803,0.319937043648981
"25",0.464274322169059,0.425954015567956,0.424191844805331,0.421683263772247,0.383975320955657,0.413951111275298,0.425954015567956,0.394785806530049
"26",0.436204146730463,0.451124610856596,0.457394719166202,0.462232784212579,0.529391379258986,0.475035873373591,0.451124610856596,0.543289991857312
"27",0.625039872408294,0.429929556425794,0.439841215478441,0.443997898009933,0.457797019947444,0.442891422465403,0.429929556425794,0.468777612494379
"28",0.578468899521531,0.584817280236873,0.59325308376302,0.592394024122156,0.419357202837264,0.547455397739828,0.584817280236873,0.422859454821104
"29",0.561881977671451,0.550703445796988,0.581006400319688,0.58916941132561,0.576377611596669,0.574314217259739,0.550703445796988,0.572189940566654
"30",0.656299840510367,0.540017413696443,0.565164420377894,0.566708513522464,0.660496504167731,0.583096712941133,0.540017413696443,0.656063104610262
"31",0.484051036682616,0.619221638462584,0.640657705810943,0.639713338989786,0.636634233047403,0.634056729077679,0.619221638462584,0.635770618191069
"32",0.631419457735247,0.482499364784513,0.510930405974737,0.517112076726322,0.539393346151088,0.512483798409165,0.482499364784513,0.541132124214948
"33",0.521052631578947,0.603178907987158,0.610739178051408,0.605726099507365,0.596116764313303,0.603940237464808,0.603178907987158,0.601005651187574
"34",0.498086124401914,0.516119075522551,0.536446087148792,0.543120519467192,0.538540351249924,0.533556508347115,0.516119075522551,0.540959526047768
"35",0.3207336523126,0.49832741182017,0.504670081588695,0.504648982805835,0.468653406425453,0.494074970660039,0.49832741182017,0.479029326865983
"36",0.434928229665072,0.354391993164267,0.352303797034438,0.352983345791299,0.404203860754385,0.365970749186097,0.354391993164267,0.413039084058145
"37",0.498086124401914,0.445178376653429,0.420746888285472,0.418496867179564,0.43570286981108,0.430031250482386,0.445178376653429,0.459833642168235
"38",0.540191387559809,0.496309116991878,0.484811913923425,0.489983393903848,0.505282599642332,0.494096756115371,0.496309116991878,0.523156846559526
"39",0.674800637958533,0.531280307466033,0.530686266664504,0.535064844910511,0.541846075585143,0.534719373656548,0.531280307466033,0.55231018246581
"40",0.681180223285486,0.642167256926221,0.650065398853614,0.650234045240315,0.565097966295654,0.626891166828951,0.642167256926221,0.567748395883102
"41",0.641626794258373,0.650556066376783,0.675839793909018,0.683150861146012,0.704906370904678,0.678613273084123,0.650556066376783,0.699291418441733
"42",0.711164274322169,0.621374494201038,0.647498982571422,0.652553838303864,0.739486041727215,0.665228339200885,0.621374494201038,0.727111502620289
"43",0.586124401913876,0.680186328867574,0.700237007318893,0.699742523060762,0.713295359208101,0.698365304613833,0.680186328867574,0.710626771849234
"44",0.666507177033493,0.581411756532097,0.605710252750497,0.613497133400883,0.628342419945446,0.607240390657231,0.581411756532097,0.625291535347697
"45",0.558692185007974,0.647786768724904,0.656072225643979,0.652624731986316,0.621519592137325,0.644500829623131,0.647786768724904,0.626068744113811
"46",0.538277511961723,0.562037571135834,0.575406122469936,0.581251419298198,0.570118688450347,0.572203450338579,0.562037571135834,0.572506092739363
"47",0.403668261562998,0.5456639839782,0.544650124563143,0.543925910659167,0.508638356286672,0.535719593871795,0.5456639839782,0.519003083779844
"48",0.267145135566188,0.435960163958587,0.427865848933731,0.429368682608067,0.473721590936409,0.441729071609199,0.435960163958587,0.49343527064006
"49",0.351993620414673,0.322665636282099,0.294730623665418,0.292210093304269,0.412070612915944,0.330419241541932,0.322665636282099,0.429674207439131
"50",0.392822966507177,0.387758536039481,0.34216521882128,0.340118573269713,0.39212190294132,0.365541057767948,0.387758536039481,0.417864553024891
"51",0.547208931419458,0.418616618088999,0.384128264582059,0.38890376326768,0.44872865208315,0.410094324505472,0.418616618088999,0.477001412470505
"52",0.558054226475279,0.542768437968321,0.519218389939159,0.522654723108092,0.501708270155994,0.521587455292891,0.542768437968321,0.521180528407977
"53",0.638437001594896,0.552490944557651,0.551388592132674,0.557979820316338,0.515024186671092,0.544220885919439,0.552490944557651,0.523577494249256
"54",0.485326953748006,0.618935224465877,0.623496345764271,0.624715536222143,0.66598949506315,0.63328415037886,0.618935224465877,0.669130620710174
"55",0.3207336523126,0.496362702285551,0.50904181936353,0.514783970475961,0.59878519128117,0.529743420851553,0.496362702285551,0.604344696698517
"56",0.589952153110048,0.361945439817257,0.353054145373702,0.350870300992889,0.467439067597407,0.383327238445314,0.361945439817257,0.487796617526455
"57",0.477033492822967,0.578356132435023,0.549291885766674,0.544398330114683,0.516670622076785,0.547179242598291,0.578356132435023,0.537069715695438
"58",0.578468899521531,0.48787037275532,0.489435646825729,0.49913431248672,0.531571728651259,0.502003015179757,0.48787037275532,0.543735540063622
"59",0.497448165869219,0.570120521010645,0.563187572795092,0.56233651434441,0.468260579560744,0.540976296927723,0.570120521010645,0.47884253686427
"60",0.396012759170654,0.505346689522289,0.508731426062676,0.513962373283033,0.385640992907521,0.47842037044388,0.505346689522289,0.394607340952541
"61",0.420893141945774,0.42262059709931,0.415359359736072,0.416109385829813,0.467924157329265,0.430503374998615,0.42262059709931,0.487390930524889
"62",0.485964912280702,0.441237079865631,0.419943344747323,0.419754808640813,0.506224577407951,0.446789952665429,0.441237079865631,0.53295375251892
"63",0.519776714513557,0.493096624231994,0.474633223120515,0.477666137339197,0.509976953095074,0.488843234446695,0.493096624231994,0.53152083486272
"64",0.612918660287081,0.520577393494439,0.512028458433256,0.516402403355606,0.466683502527473,0.503922939452693,0.520577393494439,0.480981427030184
"65",0.638437001594896,0.596893105951357,0.5956022521885,0.597285288071003,0.534438574332486,0.581054805135836,0.596893105951357,0.541096039035734
"66",0.528070175438596,0.619510877325866,0.631085009152693,0.635508478407622,0.631973850710972,0.629519553899288,0.619510877325866,0.633956880854424
"67",0.281180223285486,0.531701843835393,0.54575124721785,0.550284544338297,0.574413552568583,0.550537796990031,0.531701843835393,0.578399136999791
"68",0.566985645933014,0.330867553824358,0.326590181212919,0.32454752635148,0.447152650039,0.357289477856939,0.330867553824358,0.461848670173026
"69",0.413237639553429,0.560094007153451,0.525725088459132,0.51918586061352,0.491605407907578,0.52415259103342,0.560094007153451,0.516032661796635
"70",0.491068580542265,0.43597303210712,0.43254455474864,0.44221544299362,0.517918305933478,0.457162833945714,0.43597303210712,0.535955458854684
"71",0.431738437001595,0.498028156656401,0.481023740750165,0.480538645671267,0.439473228813114,0.474765942972737,0.498028156656401,0.458985647634813
"72",0.286921850079745,0.449668960266316,0.440197577902208,0.444808674597955,0.32959310814021,0.416067080226672,0.449668960266316,0.341143481905462
"73",0.366028708133971,0.330794465156911,0.313229509354988,0.313513378312223,0.387406573279369,0.336235981525873,0.330794465156911,0.397812203038191
"74",0.366666666666667,0.392162443430157,0.356966455739436,0.35530963231875,0.454891985076288,0.389832629141158,0.392162443430157,0.484729938069308
"75",0.609728867623604,0.391074827927316,0.365001759589747,0.369453909929058,0.424745447511189,0.387568986239328,0.391074827927316,0.446577213883408
"76",0.650558213716108,0.587556116930472,0.567724843470299,0.568121026773341,0.524381794884731,0.561945945514711,0.587556116930472,0.539343170798826
"77",0.652472089314195,0.623145083652261,0.636341011083929,0.644623207551087,0.611485547038354,0.628898712331408,0.623145083652261,0.612527467325738
"78",0.563157894736842,0.62746962980875,0.649703412786913,0.654704787956273,0.659059591093753,0.647734355411422,0.62746962980875,0.656822110610958
"79",0.310526315789474,0.557302022594009,0.578012236210254,0.582079453564759,0.580147905513359,0.574385404470595,0.557302022594009,0.580117337839418
"80",0.464912280701754,0.352566644795044,0.356436575393691,0.355170146533129,0.496033407809588,0.390051693632863,0.352566644795044,0.514033315795314
"81",0.522328548644338,0.475390848724298,0.446293925823077,0.441454670872664,0.460792463652757,0.455982977268199,0.475390848724298,0.488118416477063
"82",0.51786283891547,0.521821457942532,0.509278256998552,0.514884361614842,0.504766033406506,0.512687527490608,0.521821457942532,0.520902355176677
"83",0.484688995215311,0.518753158259215,0.516389414131918,0.521037215744462,0.447683327380047,0.50096577887891,0.518753158259215,0.459122385312082
"84",0.428548644338118,0.492191104693021,0.490129933787833,0.493109405137891,0.356299093400624,0.457932384254842,0.492191104693021,0.367592489996769
"85",0.56762360446571,0.446385377032954,0.439118221162765,0.441083850310492,0.45003560002305,0.444155762132315,0.446385377032954,0.467524951928826
"86",0.533811802232855,0.558717110918318,0.54556743231767,0.545269824259573,0.647809720840823,0.574341022084096,0.558717110918318,0.657535887553911
"87",0.795374800637959,0.532435605539724,0.535829493587061,0.541857662591585,0.621929098119022,0.558012964959348,0.532435605539724,0.627796340262226
"88",0.9,0.746089513482079,0.750827437520609,0.742255264273368,0.659552757128437,0.724681243101123,0.746089513482079,0.669152256776121
"89",0.648644338118022,0.835847440988899,0.874396592319769,0.870548703783274,0.861345401668992,0.860534534690233,0.835847440988899,0.826788777369142
"90",0.716267942583732,0.636912161998697,0.687391590984025,0.709563278308653,0.734670366016893,0.692134349327067,0.636912161998697,0.71605270882961
"91",0.611642743221691,0.693469443046933,0.711311716116635,0.70531215181762,0.659850734364562,0.692486011336438,0.693469443046933,0.662699381832353
"92",0.769856459330144,0.610652723139748,0.628749544255907,0.635763304483446,0.707866445437881,0.645758004329245,0.610652723139748,0.701837750342857
"93",0.586124401913876,0.740108425636313,0.745637408500038,0.738980185103644,0.774385761726805,0.7497779452417,0.740108425636313,0.768903197403664
"94",0.771132376395534,0.593435397910257,0.613502603843531,0.626794239116701,0.606443401588149,0.610043910614659,0.593435397910257,0.604351696058232
"95",0.337320574162679,0.74403415523673,0.744077405547604,0.73455229904621,0.572606399822666,0.698817564913302,0.74403415523673,0.580644376022842
"96",0.524242424242424,0.393482179714462,0.407134759878676,0.41461062365051,0.49830477415107,0.42838308434868,0.393482179714462,0.510762394988811
"97",0.457894736842105,0.541650027508757,0.504142512949428,0.494501245576635,0.596470233222974,0.534191004814449,0.541650027508757,0.621113375795031
"98",0.478947368421053,0.486722575875744,0.465832528124221,0.472095323531829,0.525360023949989,0.487502612870446,0.486722575875744,0.547832146825304
