"","obs","ARIMA","ETS","MLP","SA","SM","DE"
"13",0.236904761904762,0.168121341013379,0.156406774414618,0.241775200514723,0.188767771980907,0.168121341013379,0.227377018834497
"14",0.216666666666667,0.260734745164658,0.22834646381335,0.246698600827862,0.245259936601957,0.246698600827862,0.252890467438312
"15",0.181746031746032,0.232059190690784,0.217908426724839,0.157105405825648,0.202357674413757,0.217908426724839,0.17711762888898
"16",0.297619047619048,0.211783382780659,0.185590706197873,0.167243356858027,0.188205815278853,0.185590706197873,0.181462287445948
"17",0.369444444444444,0.316151367610984,0.285708539413035,0.339932233122271,0.313930713382097,0.316151367610984,0.335430181891726
"18",0.326587301587302,0.366174283716203,0.360541900933022,0.384568643509223,0.370428276052816,0.366174283716203,0.378939586312947
"19",0.459920634920635,0.308701937047742,0.330197250007574,0.323677274047524,0.320858820367613,0.323677274047524,0.319556316567918
"20",0.412698412698413,0.429718330354127,0.446128844192341,0.318109982891332,0.397985719145934,0.429718330354127,0.343168696081112
"21",0.308730158730159,0.355418842056307,0.41625263320715,0.300486382324958,0.357385952529472,0.355418842056307,0.31061686056201
"22",0.325396825396825,0.272258532899163,0.320161617041001,0.301117610666224,0.297845920202129,0.301117610666224,0.293477243648069
"23",0.279365079365079,0.295929686186175,0.324840234169184,0.270886723665692,0.29721888134035,0.295929686186175,0.276003863622079
"24",0.297619047619048,0.267077040714726,0.284199857757698,0.26127404043601,0.270850312969478,0.267077040714726,0.262858694531059
"25",0.398015873015873,0.30020613492783,0.296192360684884,0.310409085851841,0.302269193821518,0.30020613492783,0.308848603420765
"26",0.309126984126984,0.399304982769197,0.387190310807255,0.326717000978722,0.371070764851725,0.387190310807255,0.343844914589597
"27",0.341666666666667,0.308916412089551,0.317426436579988,0.276713328087467,0.301018725585669,0.308916412089551,0.284533694102217
"28",0.419047619047619,0.357568224315456,0.339089520065187,0.349083195276019,0.348580313218887,0.349083195276019,0.351046719089168
