time;target
jan/13;20088
fev/13;19774
mar/13;19905
abr/13;20096
mai/13;19910
jun/13;19651
jul/13;19330
ago/13;19837
set/13;20026
out/13;20324
nov/13;20764
dez/13;20380
jan/14;20638
fev/14;21500
mar/14;20722
abr/14;20299
mai/14;20005
jun/14;19162
jul/14;19080
ago/14;19329
set/14;19414
out/14;20242
nov/14;20794
dez/14;20099
jan/15;20859
fev/15;20774
mar/15;20148
abr/15;20094
mai/15;19176
jun/15;18623
jul/15;18400
ago/15;18947
set/15;18778
out/15;19695
nov/15;19711
dez/15;19231
jan/16;19188
fev/16;19370
mar/16;19510
abr/16;20454
mai/16;19210
jun/16;18563
jul/16;18294
ago/16;18618
set/16;19184
out/16;19062
nov/16;19267
dez/16;19178
jan/17;19558
fev/17;19443
mar/17;20141
abr/17;19728
mai/17;18865
jun/17;18771
jul/17;18475
ago/17;18426
set/17;19253
out/17;19368
nov/17;19795
dez/17;19610
jan/18;19658
fev/18;19754
mar/18;19983
abr/18;20696
mai/18;19582
jun/18;18920
jul/18;18856
ago/18;19079
set/18;19644
out/18;19632
nov/18;20071
dez/18;19996
jan/19;20574
fev/19;20687
mar/19;20567
abr/19;19841
mai/19;20245
jun/19;19071
jul/19;18761
ago/19;18944
set/19;19357
