time;target
jan/15;2693
fev/15;2543
mar/15;2683
abr/15;2614
mai/15;2687
jun/15;2667
jul/15;2816
ago/15;2866
set/15;2939
out/15;3033
nov/15;2945
dez/15;2951
jan/16;2707
fev/16;2670
mar/16;2837
abr/16;2698
mai/16;2844
jun/16;2809
jul/16;2891
ago/16;2923
set/16;2909
out/16;2934
nov/16;2940
dez/16;2882
jan/17;2752
fev/17;2552
mar/17;2793
abr/17;2720
mai/17;2933
jun/17;2891
jul/17;2881
ago/17;3040
set/17;2991
out/17;3047
nov/17;2965
dez/17;2923
jan/18;2817
fev/18;2658
mar/18;2881
abr/18;2693
mai/18;2670
jun/18;2590
jul/18;2662
ago/18;2694
set/18;2694
out/18;2838
nov/18;2724
dez/18;2601
jan/19;2566
fev/19;2410
mar/19;2599
abr/19;2568
mai/19;2689
jun/19;2720
jul/19;2821
ago/19;2881
set/19;2938
