time;target
jan/13;6660
fev/13;6452
mar/13;6706
abr/13;6853
mai/13;6660
jun/13;6385
jul/13;6535
ago/13;6581
set/13;6537
out/13;6833
nov/13;6760
dez/13;6734
jan/14;6882
fev/14;6612
mar/14;6843
abr/14;6670
mai/14;6634
jun/14;6356
jul/14;6535
ago/14;6634
set/14;6700
out/14;6911
nov/14;6921
dez/14;6859
jan/15;6968
fev/15;6772
mar/15;6898
abr/15;6729
mai/15;6697
jun/15;6486
jul/15;6272
ago/15;6405
set/15;6469
out/15;6711
nov/15;6728
dez/15;6854
jan/16;6614
fev/16;6356
mar/16;6778
abr/16;6601
mai/16;6760
jun/16;6633
jul/16;6474
ago/16;6513
set/16;6615
out/16;6668
nov/16;6814
dez/16;6854
jan/17;6681
fev/17;6294
mar/17;6742
abr/17;6501
mai/17;6623
jun/17;6530
jul/17;6303
ago/17;6427
set/17;6428
out/17;6809
nov/17;6873
dez/17;6876
jan/18;6736
fev/18;6340
mar/18;6582
abr/18;6672
mai/18;6665
jun/18;6613
jul/18;6525
ago/18;6743
set/18;6690
out/18;7100
nov/18;7264
dez/18;6870
jan/19;6976
fev/19;6812
mar/19;7060
abr/19;6772
mai/19;7062
jun/19;6382
jul/19;6675
ago/19;6571
set/19;6604
