time;target
jan/13;6617
fev/13;6953
mar/13;6834
abr/13;6572
mai/13;6614
jun/13;6498
jul/13;6544
ago/13;6797
set/13;6573
out/13;6655
nov/13;6850
dez/13;6886
jan/14;7333
fev/14;8019
mar/14;7282
abr/14;7007
mai/14;6795
jun/14;6627
jul/14;6639
ago/14;6865
set/14;6823
out/14;6940
nov/14;7303
dez/14;7267
jan/15;7308
fev/15;7652
mar/15;7266
abr/15;7227
mai/15;6671
jun/15;6563
jul/15;6432
ago/15;6629
set/15;6474
out/15;6536
nov/15;6615
dez/15;6576
jan/16;6904
fev/16;7304
mar/16;7192
abr/16;7270
mai/16;6831
jun/16;6600
jul/16;6635
ago/16;6590
set/16;6573
out/16;6446
nov/16;6683
dez/16;6929
jan/17;7281
fev/17;7507
mar/17;7831
abr/17;7267
mai/17;6685
jun/17;6736
jul/17;6748
ago/17;6872
set/17;6973
out/17;6868
nov/17;6926
dez/17;7119
jan/18;7436
fev/18;7573
mar/18;7564
abr/18;7516
mai/18;7271
jun/18;6770
jul/18;6916
ago/18;7045
set/18;6960
out/18;6924
nov/18;7145
dez/18;7285
jan/19;7897
fev/19;8062
mar/19;7680
abr/19;7296
mai/19;7297
jun/19;6997
jul/19;6970
ago/19;7083
set/19;6943
