time;target
fev/15;2803
mar/15;2762
abr/15;2869
mai/15;2827
jun/15;2792
jul/15;2764
ago/15;2878
set/15;3055
out/15;3192
nov/15;3115
dez/15;2926
jan/16;2812
fev/16;2805
mar/16;2901
abr/16;3067
mai/16;2880
jun/16;2818
jul/16;2813
ago/16;2896
set/16;2950
out/16;2948
nov/16;2905
dez/16;2781
jan/17;2865
fev/17;2780
mar/17;2901
abr/17;2972
mai/17;2928
jun/17;2935
jul/17;2817
ago/17;2893
set/17;3128
out/17;3060
nov/17;3071
dez/17;2867
jan/18;2862
fev/18;2901
mar/18;2956
abr/18;3028
mai/18;2954
jun/18;2897
jul/18;2936
ago/18;3035
set/18;3092
out/18;3247
nov/18;3113
dez/18;3019
jan/19;3128
fev/19;3191
mar/19;3031
abr/19;3056
mai/19;3142
jun/19;3043
jul/19;3039
ago/19;3135
set/19;3342
