"","obs","ARIMA","ETS","MLP","SA","SM","DE"
"13",0.373736743605739,0.264502310620612,0.264662255642049,0.33279171582406,0.287318760695574,0.264662255642049,0.313246018470433
"14",0.501497192763568,0.340736713888712,0.340693019412275,0.478886957687755,0.386772230329581,0.340736713888712,0.468768246021222
"15",0.484778540237056,0.452930999529269,0.452782146261155,0.414540577440612,0.440084574410345,0.452782146261155,0.397193285817647
"16",0.646475358702433,0.475157308533363,0.475085347654047,0.390461779920706,0.446901478702705,0.475085347654047,0.371015434872181
"17",0.401933873986276,0.594719693458915,0.59455337070756,0.467208179124953,0.552160414430476,0.59455337070756,0.454708372740325
"18",0.547660636306925,0.460175012771572,0.460287258382275,0.440188736393911,0.453550335849253,0.460175012771572,0.425193391498193
"19",0.46930754834685,0.52123098315101,0.521191185421631,0.514470306213422,0.518964158262021,0.521191185421631,0.506880867125529
"20",0.501996257018091,0.484993764173878,0.485025509766238,0.548468115181719,0.506162463040612,0.485025509766238,0.544797714048551
"21",0.549656893325016,0.496859756065145,0.496855030118783,0.567369826102993,0.520361537428973,0.496859756065145,0.565414739789715
"22",0.503243917654398,0.533706729526506,0.533660758598547,0.448609690545992,0.505325726223682,0.533660758598547,0.433974934350825
"23",0.438615096693699,0.512446818878601,0.512458590322213,0.499656522963262,0.508187310721359,0.512446818878601,0.490512109200745
"24",0.358515283842795,0.460919867813748,0.460985717748136,0.380843662736595,0.434249749432826,0.460919867813748,0.360794942097491
"25",0.485028072364317,0.389451996945541,0.389558333589495,0.418819255029981,0.399276528521672,0.389558333589495,0.402678584485935
"26",0.532189644416719,0.456154270918517,0.456105858051952,0.463714970923703,0.458658366631391,0.456154270918517,0.451250685819699
"27",0.606550218340611,0.509219144031294,0.509140334727832,0.502246978132231,0.506868818963786,0.509140334727832,0.49342841449795
"28",0.716344354335621,0.577146226789379,0.577040244121071,0.607688266993509,0.58729157930132,0.577146226789379,0.608556793844931
"29",0.620524017467249,0.674292208139128,0.674142674704744,0.549968496439823,0.632801126427899,0.674142674704744,0.545709839875604
"30",0.684903306300686,0.636767539235195,0.636767597010519,0.637807913345512,0.637114349863742,0.636767597010519,0.640119940960902
"31",0.9,0.670361355560394,0.670320766136294,0.675525066331901,0.672069062676197,0.670361355560394,0.678842023868935
"32",0.705864004990643,0.830625519045645,0.830419501402703,0.802249689074531,0.821098236507626,0.830419501402703,0.79507714613973
"33",0.600311915159077,0.743554809610078,0.743597645065948,0.73013580160887,0.739096085428299,0.743554809610078,0.731727564561901
"34",0.52694946974423,0.643585996824156,0.643719812168669,0.62416791921016,0.637157909400995,0.643585996824156,0.625655548753311
"35",0.316593886462882,0.56218569292537,0.562324625393221,0.532884282668268,0.55246486699562,0.56218569292537,0.526940730124869
"36",0.296132252027449,0.390787862575027,0.391037130842569,0.459639563568891,0.413821518995496,0.391037130842569,0.447473936067585
"37",0.358265751715533,0.324727978444406,0.324883344044722,0.428170432349753,0.359260584946294,0.324883344044722,0.413597017369352
"38",0.379475982532751,0.348133895996183,0.348152671263986,0.354500287112556,0.350262284790908,0.348152671263986,0.334219672739783
"39",0.586088583905178,0.370007449957117,0.369986697937295,0.320580259298047,0.353524802397486,0.369986697937295,0.298689300298521
"40",0.723830318153462,0.520809865036858,0.520621294065713,0.516864940789593,0.519432033297388,0.520621294065713,0.509553616906712
"41",0.5504054897068,0.66249726773221,0.662268874492925,0.625348161404988,0.650038101210041,0.662268874492925,0.626787232236393
"42",0.740049906425452,0.584268731404382,0.584294100171335,0.598226594714151,0.588929808763289,0.584294100171335,0.598318422733429
"43",0.718839675608235,0.69298797490291,0.692864244594933,0.82424609712857,0.736699438875471,0.69298797490291,0.816926844810314
