"","obs","ARIMA","ETS","MLP","SA","SM","DE"
"13",0.330473751600512,0.236119261384777,0.235656528048787,0.253801912888336,0.2418592341073,0.236119261384777,0.241050024665617
"14",0.294622279129321,0.319960768509071,0.320881666812789,0.315872912184376,0.318905115835412,0.319960768509071,0.31947019699089
"15",0.34583866837388,0.300043399984985,0.299614240266826,0.335888197476603,0.311848612576138,0.300043399984985,0.312840294691878
"16",0.323303457106274,0.341790121966982,0.342193701927899,0.286122831826482,0.323368885240455,0.341790121966982,0.327079167377549
"17",0.247503201024328,0.327812430194519,0.327487062954578,0.337407827922169,0.330902440357089,0.327812430194519,0.332842608263546
"18",0.230089628681178,0.260242290609907,0.258840143482674,0.289362504829088,0.269481646307223,0.260242290609907,0.269449401576282
"19",0.1,0.236151635293667,0.235132562208762,0.223631622844014,0.231638606782148,0.235132562208762,0.231084630123207
"20",0.214724711907811,0.120173098721579,0.117511769774155,0.151023184951377,0.129569351149037,0.120173098721579,0.12546653480436
"21",0.299743918053777,0.204185486860384,0.204393993716473,0.154244764114643,0.187608081563833,0.204185486860384,0.188710538039429
"22",0.292573623559539,0.289070660560704,0.289932579100526,0.288060022213902,0.289021087291711,0.289070660560704,0.289269216587257
"23",0.288476312419974,0.294155231841124,0.293999426866308,0.300517420185269,0.296224026297567,0.294155231841124,0.297056215260197
"24",0.404225352112676,0.291280256960583,0.290873953944241,0.262984633456662,0.281712948120495,0.290873953944241,0.282961040791184
"25",0.401152368758003,0.391237498460767,0.39257395805266,0.42580515118491,0.403205535899446,0.39257395805266,0.410439352566534
"26",0.412419974391805,0.401880393164099,0.402217625820138,0.479084798494478,0.427727605826238,0.402217625820138,0.441553778256245
"27",0.56606914212548,0.413064834280344,0.413319966875395,0.425952805232272,0.417445868796004,0.413319966875395,0.423778442857825
"28",0.485147247119078,0.547748413803333,0.550174247110729,0.447417415862919,0.515113358925661,0.547748413803333,0.495814269364336
"29",0.584507042253521,0.495528954431224,0.495429335912587,0.479993673916123,0.490317321419978,0.495429335912587,0.49348303451386
"30",0.44314980793854,0.574709791654395,0.57639819791856,0.560209628597461,0.570439206056805,0.574709791654395,0.575264058765449
"31",0.317157490396927,0.462711643963034,0.461558881010004,0.442437019759983,0.455569181577674,0.461558881010004,0.45667081159782
"32",0.457490396927017,0.338582297481218,0.336472594842024,0.321379623456365,0.332144838593202,0.336472594842024,0.333470798388471
"33",0.445198463508323,0.443708719522252,0.445030421736048,0.392957490622155,0.427232210626818,0.443708719522252,0.422619718194661
"34",0.552752880921895,0.447048081167952,0.447376468306404,0.450537875534758,0.448320808336371,0.447376468306404,0.456600599653907
"35",0.488220230473752,0.540728890145418,0.542512541798405,0.452993274880049,0.512078235607957,0.540728890145418,0.495778340019719
"36",0.577336747759283,0.497258374810284,0.497151902186793,0.459315664263121,0.484575313753399,0.497151902186793,0.48161108808559
