"","obs","ARIMA","ETS","MLP","SA","SM","DE"
"13",0.273662551440329,0.17652384412487,0.18469106951828,0.185255699838875,0.182156871160675,0.18469106951828,0.185924811346253
"14",0.349382716049383,0.284208256254684,0.250291529243669,0.289149579458776,0.274549788319043,0.284208256254684,0.292811460591073
"15",0.431687242798354,0.330273129435681,0.323186189762652,0.325772202874613,0.326410507357649,0.325772202874613,0.334899901707151
"16",0.379012345679012,0.396388623605415,0.402865041251832,0.327270692056381,0.375508118971209,0.396388623605415,0.356050345325482
"17",0.326337448559671,0.330878692120816,0.38727160681285,0.30303354916632,0.340394616033329,0.330878692120816,0.314780964291951
"18",0.295884773662551,0.30451562370929,0.344980373435509,0.281091860364388,0.310195952503062,0.30451562370929,0.291254894784883
"19",0.255555555555556,0.294371334792476,0.311205774363162,0.318544931226297,0.308040680127312,0.311205774363162,0.317271268761226
"20",0.303292181069959,0.264055765391863,0.272707512536555,0.330459426027063,0.289074234651827,0.272707512536555,0.317473072446944
"21",0.346913580246914,0.321234122934444,0.296285270776481,0.306282720524111,0.307934038078346,0.306282720524111,0.317067151847812
"22",0.375720164609054,0.348572743584267,0.334295757973681,0.314851115472117,0.332573205676688,0.334295757973681,0.33212486307063
"23",0.324691358024691,0.365931933793023,0.365685302152143,0.308038737020251,0.346551990988473,0.365685302152143,0.331640999090356
"24",0.392181069958848,0.310891869762121,0.337744976564899,0.294560634013386,0.314399160113468,0.310891869762121,0.303750118519685
"25",0.485185185185185,0.395332487542346,0.378501841527635,0.355243917796746,0.376359415622242,0.378501841527635,0.378925955318071
"26",0.467901234567901,0.46937261018233,0.456877605984045,0.461954037037207,0.46273475106786,0.461954037037207,0.485175873036526
"27",0.49917695473251,0.4317027793669,0.466397401211859,0.49128393855655,0.46312803971177,0.466397401211859,0.495128991288495
"28",0.538683127572017,0.476158686985105,0.491580664138097,0.435462308614237,0.467733886579146,0.476158686985105,0.466042775084936
"29",0.467078189300412,0.512796568824459,0.527078448953607,0.460430377365109,0.500101798381058,0.512796568824459,0.496332222278695
"30",0.417695473251029,0.438055038583853,0.485476340229184,0.468622250842776,0.464051209885271,0.468622250842776,0.479259450119858
"31",0.433333333333333,0.415874895550401,0.438266873794926,0.436489161172809,0.430210310172712,0.436489161172809,0.448351735241877
"32",0.401234567901235,0.446024807611605,0.436295213728362,0.415018799380761,0.432446273573576,0.436295213728362,0.441663791868053
"33",0.494238683127572,0.40833274767095,0.412634176402235,0.416823730616668,0.412596884896618,0.412634176402235,0.431207869663341
"34",0.492592592592593,0.508328831977206,0.472958350646509,0.476372569473264,0.485886584032326,0.476372569473264,0.508766556469587
"35",0.441563786008231,0.479589079457392,0.48867750874831,0.436672027951532,0.468312872052411,0.479589079457392,0.468176608717822
"36",0.403703703703704,0.43345038585315,0.456345926993167,0.419006990707205,0.436267767851174,0.43345038585315,0.440199697379691
"37",0.610288065843621,0.412554761506548,0.420029596341567,0.431726630707442,0.421436996185186,0.420029596341567,0.443968077334832
"38",0.64320987654321,0.625948382141677,0.558575279823102,0.577603077197927,0.587375579720902,0.577603077197927,0.623311825357479
"39",0.709876543209877,0.600438222508854,0.621100028724972,0.654541800226532,0.625360017153453,0.621100028724972,0.670029836838916
"40",0.6440329218107,0.667778203041784,0.686615060228609,0.649879634611336,0.668090965960576,0.667778203041784,0.685503189016137
"41",0.452263374485597,0.59495146647639,0.657572215278391,0.535503480830193,0.596009054194991,0.59495146647639,0.573281481097323
"42",0.454732510288066,0.43490237622463,0.511376102462076,0.495849482373124,0.480709320353277,0.495849482373124,0.498469676611844
"43",0.456378600823045,0.493770956246082,0.472185449567653,0.537946292919067,0.5013008995776,0.493770956246082,0.551266996453739
"44",0.422633744855967,0.487222004299026,0.462388019864002,0.536826699448934,0.495478907870654,0.487222004299026,0.548525886250423
"45",0.510699588477366,0.447712244957533,0.435348954627832,0.457071951007959,0.446711050197775,0.447712244957533,0.47478770050882
"46",0.476131687242798,0.539350661723984,0.491171392434091,0.453029964050587,0.494517339402887,0.491171392434091,0.50112068859112
"47",0.447325102880659,0.476235015863615,0.481928218066893,0.422031424681827,0.460064886204112,0.476235015863615,0.455935518790478
"48",0.424279835390946,0.458060579377016,0.458599593599474,0.453431930693682,0.456697367890057,0.458060579377016,0.474865631722383
"49",0.518106995884774,0.441708684797914,0.435471501008707,0.500489914776678,0.4592233668611,0.441708684797914,0.506339477224168
"50",0.663786008230453,0.537827057575559,0.496537541118162,0.547084335144319,0.52714964461268,0.537827057575559,0.572164555788321
"51",0.776543209876543,0.653209502464493,0.618525793008187,0.67611611031026,0.649283801927647,0.653209502464493,0.705540565931009
"52",0.713168724279835,0.728707034806632,0.733885220405824,0.724653053676261,0.729081769629572,0.728707034806632,0.756807502962561
"53",0.55761316872428,0.647160362151402,0.720587647141636,0.607567035339748,0.658438348210929,0.647160362151402,0.642766243877862
"54",0.463786008230453,0.525921052781937,0.604874682895201,0.542919851010828,0.557905195562656,0.542919851010828,0.559713915241124
"55",0.458024691358025,0.483013414052396,0.504901287529588,0.540696159192148,0.509536953591377,0.504901287529588,0.548948228064269
"56",0.537037037037037,0.499396199062842,0.472738248909539,0.567864935939568,0.51333312797065,0.499396199062842,0.576751578102168
"57",0.673662551440329,0.571000145157589,0.520607086692768,0.570830183272223,0.55414580504086,0.570830183272223,0.600592818152246
"58",0.519753086419753,0.678319779676168,0.632379407696285,0.557090054626514,0.622596413999656,0.632379407696285,0.621584572875782
"59",0.468724279835391,0.489439924211832,0.55289935920438,0.449543504972748,0.49729426279632,0.489439924211832,0.47922149835278
"60",0.464609053497942,0.488077269239772,0.493890456427654,0.441525328753234,0.474497684806887,0.488077269239772,0.474545891876945
"61",0.532921810699589,0.49453459069526,0.474391787351427,0.52589568251961,0.498274020188766,0.49453459069526,0.542173937276964
"62",0.577366255144033,0.557619350290828,0.518106745589804,0.663320467129901,0.579682187670178,0.557619350290828,0.668705395113919
"63",0.575720164609054,0.578756947812473,0.562352723306562,0.641448293543519,0.594185988220851,0.578756947812473,0.656047127359329
"64",0.540329218106996,0.565862844695096,0.573566347202471,0.532292174281104,0.55724045539289,0.565862844695096,0.565658572711609
"65",0.438271604938272,0.534489724382209,0.551230088663596,0.481440456934905,0.522386756660237,0.534489724382209,0.519006296020941
